,rank,name,net_worth (in billion $),age,country / territory,source,industry,"('age', 'net_worth (in billion $)')"
78,79.0,Alexey Mordashov & family,20.9,57.0,Russia,"Steel, investments",Metals & Mining,57.0
79,80.0,Vagit Alekperov,20.5,72.0,Russia,Oil,Energy,72.0
80,81.0,"Thomas Frist, Jr. & family",20.2,84.0,United States,Hospitals,Healthcare,84.0
81,82.0,Andrew Forrest,19.6,61.0,Australia,Mining,Metals & Mining,61.0
82,83.0,Ray Dalio,19.1,73.0,United States,Hedge funds,Finance & Investments,73.0
83,84.0,Wang Wenyin,19.0,55.0,China,"Mining, copper products",Metals & Mining,55.0
84,84.0,Li Shufu,19.0,59.0,China,Automobiles,Automotive,59.0
85,86.0,Eyal Ofer,18.9,72.0,Israel,"Real estate, shipping",Diversified,72.0
86,86.0,Qin Yinglin,18.9,57.0,China,Pig breeding,Food & Beverage,57.0
87,88.0,Wang Chuanfu,18.7,57.0,China,"Batteries, automobiles",Automotive,57.0
88,89.0,David Tepper,18.5,65.0,United States,Hedge funds,Finance & Investments,65.0
89,89.0,Gennady Timchenko,18.5,70.0,Russia,"Oil, gas",Energy,70.0
90,89.0,Harold Hamm & family,18.5,77.0,United States,Oil & gas,Energy,77.0
91,92.0,Daniel Gilbert,18.0,61.0,United States,Quicken Loans,Finance & Investments,61.0
92,93.0,Lakshmi Mittal,17.7,72.0,India,Steel,Metals & Mining,72.0
93,94.0,Savitri Jindal & family,17.5,73.0,India,Steel,Metals & Mining,73.0
94,94.0,Carl Icahn,17.5,87.0,United States,Investments,Finance & Investments,87.0
95,94.0,Steve Cohen,17.5,66.0,United States,Hedge funds,Finance & Investments,66.0
96,97.0,"John Menard, Jr.",17.4,83.0,United States,Home improvement stores,Fashion & Retail,83.0
97,97.0,Donald Bren,17.4,90.0,United States,Real estate,Real Estate,90.0
98,99.0,Rupert Murdoch & family,17.1,92.0,United States,"Newspapers, TV network",Media & Entertainment,92.0
99,100.0,Vicky Safra & family,16.7,70.0,Brazil,Banking,Finance & Investments,70.0
100,101.0,"Theo Albrecht, Jr. & family",16.5,72.0,Germany,"Aldi, Trader Joe's",Fashion & Retail,72.0
101,101.0,Renata Kellnerova & family,16.5,55.0,Czech Republic,"Finance, telecommunications",Finance & Investments,55.0
102,103.0,Li Xiting,16.3,72.0,Singapore,Medical devices,Healthcare,72.0
103,104.0,Eric Schmidt,16.2,67.0,United States,Google,Technology,67.0
104,104.0,Stefan Persson,16.2,75.0,Sweden,H&M,Fashion & Retail,75.0
105,106.0,Michael Platt,16.0,55.0,United Kingdom,Hedge funds,Finance & Investments,55.0
106,107.0,Pang Kang,15.9,67.0,China,Soy sauce,Food & Beverage,67.0
107,108.0,Peter Woo,15.8,76.0,Hong Kong,Real estate,Real Estate,76.0
108,108.0,Jorge Paulo Lemann & family,15.8,83.0,Brazil,Beer,Food & Beverage,83.0
109,108.0,Beate Heister,15.8,65.0,Germany,Supermarkets,Fashion & Retail,65.0
110,108.0,Karl Albrecht Jr. & family,15.8,65.0,Germany,Supermarkets,Fashion & Retail,65.0
111,112.0,Dilip Shanghvi,15.6,67.0,India,Pharmaceuticals,Healthcare,67.0
112,113.0,Robert Pera,15.5,45.0,United States,Wireless networking,Technology,45.0
113,114.0,Radhakishan Damani,15.3,68.0,India,"Retail, investments",Fashion & Retail,68.0
114,115.0,Huang Shilin,15.2,56.0,China,Batteries,Automotive,56.0
115,116.0,Dhanin Chearavanont,14.9,83.0,Thailand,Diversified,Diversified,83.0
116,116.0,David Green & family,14.9,81.0,United States,Retail,Fashion & Retail,81.0
117,118.0,Charoen Sirivadhanabhakdi,14.8,78.0,Thailand,"Alcohol, real estate",Food & Beverage,78.0
118,119.0,Charlene de Carvalho-Heineken & family,14.7,68.0,Netherlands,Heineken,Food & Beverage,68.0
119,120.0,Xu Hang,14.6,56.0,Hong Kong,Medical devices,Healthcare,56.0
120,121.0,Wei Jianjun & family,14.5,59.0,China,Automobiles,Automotive,59.0
121,122.0,Alisher Usmanov,14.4,69.0,Russia,"Steel, telecom, investments",Metals & Mining,69.0
122,123.0,Goh Cheng Liang,14.3,95.0,Singapore,Paints,Manufacturing,95.0
123,124.0,Aliko Dangote,14.2,65.0,Nigeria,"Cement, sugar",Manufacturing,65.0
124,124.0,Kumar Birla,14.2,55.0,India,Commodities,Diversified,55.0
125,126.0,Kwong Siu-hing,14.1,93.0,Hong Kong,Real estate,Real Estate,93.0
126,127.0,Idan Ofer,14.0,67.0,Israel,Shipping,Diversified,67.0
127,128.0,Lui Che Woo,13.9,94.0,Hong Kong,Casinos/hotels,Gambling & Casinos,94.0
128,128.0,Chen Bang,13.9,57.0,China,Hospitals,Healthcare,57.0
129,130.0,Diane Hendricks,13.7,76.0,United States,Building supplies,Construction & Engineering,76.0
130,130.0,John Fredriksen,13.7,78.0,Cyprus,Shipping,Logistics,78.0
131,130.0,Jan Koum,13.7,47.0,United States,WhatsApp,Technology,47.0
132,133.0,Joseph Lau,13.3,71.0,Hong Kong,Real estate,Real Estate,71.0
133,133.0,Jerry Jones,13.3,80.0,United States,Dallas Cowboys,Sports,80.0
134,133.0,George Kaiser,13.3,80.0,United States,"Oil & gas, banking",Energy,80.0
135,136.0,Lu Xiangyang,13.2,60.0,China,"Automobiles, batteries",Automotive,60.0
136,137.0,Harry Triguboff,13.1,90.0,Australia,Real estate,Real Estate,90.0
137,138.0,Stanley Kroenke,12.9,75.0,United States,"Sports, real estate",Sports,75.0
138,138.0,Uday Kotak,12.9,64.0,India,Banking,Finance & Investments,64.0
139,140.0,Mikhail Fridman,12.6,58.0,Russia,"Oil, banking, telecom",Energy,58.0
140,141.0,Sarath Ratanavadi,12.3,57.0,Thailand,Energy,Energy,57.0
141,142.0,Jiang Rensheng & family,12.2,69.0,China,Vaccines,Healthcare,69.0
142,142.0,Dang Yanbao,12.2,50.0,China,Coal,Metals & Mining,50.0
143,144.0,Shahid Khan,12.1,72.0,United States,Auto parts,Automotive,72.0
144,145.0,Laurene Powell Jobs & family,12.0,59.0,United States,"Apple, Disney",Technology,59.0
145,146.0,Robert Kuok,11.8,99.0,Malaysia,"Palm oil, shipping, property",Diversified,99.0
146,147.0,Stephen Ross,11.6,82.0,United States,Real estate,Real Estate,82.0
147,148.0,Thomas Struengmann & family,11.5,73.0,Germany,Pharmaceuticals,Healthcare,73.0
148,148.0,Pavel Durov,11.5,38.0,United Arab Emirates,Messaging app,Technology,38.0
149,148.0,Andreas Struengmann & family,11.5,73.0,Germany,Pharmaceuticals,Healthcare,73.0
150,151.0,Liu Hanyuan,11.4,59.0,China,Agribusiness,Food & Beverage,59.0
151,151.0,Michael Rubin,11.4,50.0,United States,Online retail,Fashion & Retail,50.0
152,153.0,Mikhail Prokhorov,11.3,57.0,Russia,Investments,Finance & Investments,57.0
153,153.0,Anthony Pratt,11.3,62.0,Australia,Manufacturing,Manufacturing,62.0
154,153.0,Viatcheslav Kantor,11.3,69.0,Russia,"Fertilizer, real estate",Manufacturing,69.0
155,153.0,Israel Englander,11.3,74.0,United States,Hedge funds,Finance & Investments,74.0
156,157.0,Johann Rupert & family,11.1,72.0,South Africa,Luxury goods,Fashion & Retail,72.0
157,157.0,Giorgio Armani,11.1,88.0,Italy,Luxury goods,Fashion & Retail,88.0
158,159.0,Zhang Zhidong,11.0,51.0,China,Internet media,Technology,51.0
159,159.0,Gong Hongjia & family,11.0,58.0,Hong Kong,Video surveillance,Finance & Investments,58.0
160,161.0,Philip Anschutz,10.9,83.0,United States,"Energy, sports, entertainment",Finance & Investments,83.0
161,161.0,Ricardo Salinas Pliego & family,10.9,67.0,Mexico,"Retail, media",Fashion & Retail,67.0
162,161.0,Judy Love & family,10.9,85.0,United States,Gas stations,Fashion & Retail,85.0
163,164.0,Donald Newhouse,10.7,93.0,United States,Media,Media & Entertainment,93.0
164,165.0,Robert Kraft,10.6,81.0,United States,"Manufacturing, New England Patriots",Sports,81.0
165,165.0,Marcel Herrmann Telles,10.6,73.0,Brazil,Beer,Food & Beverage,73.0
166,167.0,Suleiman Kerimov & family,10.5,57.0,Russia,Gold,Finance & Investments,57.0
167,167.0,Changpeng Zhao,10.5,45.0,Canada,Cryptocurrency exchange,Finance & Investments,45.0
168,167.0,Chris Xu,10.5,39.0,China,E-commerce,Fashion & Retail,39.0
169,170.0,Andrew Beal,10.3,70.0,United States,"Banks, real estate",Finance & Investments,70.0
170,171.0,Eduardo Saverin,10.2,41.0,Brazil,Facebook,Technology,41.0
171,171.0,Viktor Rashnikov,10.2,74.0,Russia,Steel,Manufacturing,74.0
172,171.0,Jeffery Hildebrand,10.2,64.0,United States,Oil,Energy,64.0
173,171.0,David Duffield,10.2,82.0,United States,Business software,Technology,82.0
174,171.0,Carl Cook,10.2,60.0,United States,Medical devices,Healthcare,60.0
175,171.0,Mike Cannon-Brookes,10.2,43.0,Australia,Software,Technology,43.0
176,171.0,Christy Walton,10.2,74.0,United States,Walmart,Fashion & Retail,74.0
177,171.0,Georg Schaeffler,10.2,58.0,Germany,Auto parts,Automotive,58.0
178,179.0,Quek Leng Chan,10.1,81.0,Malaysia,"Banking, property",Diversified,81.0
179,179.0,Wu Yajun,10.1,59.0,China,Real estate,Real Estate,59.0
180,179.0,Scott Farquhar,10.1,43.0,Australia,Software,Technology,43.0
181,182.0,Autry Stephens,10.0,85.0,United States,Oil,Energy,85.0
182,183.0,Liu Yongxing,9.9,74.0,China,Diversified,Service,74.0
183,184.0,Melker Schorling & family,9.8,75.0,Sweden,Investments,Finance & Investments,75.0
184,184.0,Tanya Saadé Zeenny,9.8,55.0,France,Shipping,Logistics,55.0
185,184.0,Rodolphe Saadé,9.8,53.0,France,Shipping,Logistics,53.0
186,184.0,"Jacques Saadé, Jr.",9.8,51.0,France,Shipping,Logistics,51.0
187,184.0,Nicolas Puech,9.8,80.0,France,Hermes,Fashion & Retail,80.0
188,184.0,Vinod Adani,9.8,74.0,Cyprus,"Infrastructure, commodities",Diversified,74.0
189,190.0,Michael Kim,9.7,59.0,United States,Private equity,Finance & Investments,59.0
190,190.0,Andrei Guriev & family,9.7,63.0,Russia,Fertilizers,Manufacturing,63.0
191,190.0,Friedhelm Loh,9.7,76.0,Germany,Manufacturing,Manufacturing,76.0
192,190.0,Lei Jun,9.7,53.0,China,Smartphones,Technology,53.0
193,190.0,Sun Piaoyang,9.7,64.0,China,Pharmaceuticals,Healthcare,64.0
194,195.0,Rick Cohen & family,9.6,70.0,United States,Warehouse automation,Technology,70.0
195,195.0,Victoria Mars,9.6,66.0,United States,"Candy, pet food",Food & Beverage,66.0
196,195.0,Jin Baofang,9.6,70.0,China,Solar panels,Energy,70.0
197,195.0,Luo Liguo & family,9.6,67.0,China,Chemicals,Manufacturing,67.0
198,195.0,Valerie Mars,9.6,64.0,United States,"Candy, pet food",Food & Beverage,64.0
199,195.0,Pamela Mars,9.6,62.0,United States,"Candy, pet food",Food & Beverage,62.0
200,195.0,Marijke Mars,9.6,58.0,United States,"Candy, pet food",Food & Beverage,58.0
201,202.0,Vincent Bolloré & family,9.5,71.0,France,Investments,Finance & Investments,71.0
202,202.0,Jim Pattison,9.5,94.0,Canada,Diversified,Diversified,94.0
203,204.0,Wang Xing,9.4,44.0,China,E-commerce,Technology,44.0
204,204.0,Ernesto Bertarelli,9.4,57.0,Switzerland,"Biotech, investments",Healthcare,57.0
205,206.0,James Dyson,9.3,75.0,United Kingdom,Vacuums,Manufacturing,75.0
206,206.0,Brian Chesky,9.3,41.0,United States,Airbnb,Technology,41.0
207,208.0,Azim Premji,9.2,77.0,India,Software services,Technology,77.0
208,208.0,John Malone,9.2,82.0,United States,Cable television,Media & Entertainment,82.0
209,208.0,Daniel Kretinsky,9.2,47.0,Czech Republic,"Energy, investments",Energy,47.0
210,208.0,Antonia Ax:son Johnson & family,9.2,79.0,Sweden,Diversified,Diversified,79.0
211,208.0,Roman Abramovich & family,9.2,56.0,Russia,"Steel, investments",Diversified,56.0
212,208.0,Eric Smidt,9.2,63.0,United States,Hardware stores,Fashion & Retail,63.0
213,208.0,Charles Schwab,9.2,85.0,United States,Discount brokerage,Finance & Investments,85.0
214,215.0,Ivan Glasenberg,9.0,66.0,Switzerland,Mining,Metals & Mining,66.0
215,215.0,Alexander Otto,9.0,55.0,Germany,Real estate,Real Estate,55.0
216,215.0,Wang Liping & family,9.0,57.0,China,Hydraulic machinery,Manufacturing,57.0
217,215.0,Anthony von Mandl,9.0,73.0,Canada,Alcoholic beverages,Food & Beverage,73.0
218,215.0,David Cheriton,9.0,72.0,Canada,Google,Technology,72.0
219,220.0,Kirsten Rausing,8.9,70.0,Sweden,Packaging,Food & Beverage,70.0
220,220.0,Jorn Rausing,8.9,63.0,Sweden,Packaging,Food & Beverage,63.0
221,220.0,Finn Rausing,8.9,68.0,Sweden,Packaging,Food & Beverage,68.0
222,223.0,Dustin Moskovitz,8.8,38.0,United States,Facebook,Sports,38.0
223,223.0,Richard Liu,8.8,49.0,China,E-commerce,Technology,49.0
224,223.0,John Doerr,8.8,71.0,United States,Venture capital,Technology,71.0
225,223.0,Tatyana Bakalchuk,8.8,47.0,Russia,Ecommerce,Fashion & Retail,47.0
226,223.0,Pei Zhenhua,8.8,64.0,China,Batteries,Energy,64.0
227,223.0,Pierre Omidyar,8.8,55.0,United States,"EBay, PayPal",Technology,55.0
228,223.0,Carrie Perrodo & family,8.8,72.0,France,Oil,Energy,72.0
229,230.0,Chen Jianhua,8.7,52.0,China,Chemicals,Manufacturing,52.0
230,230.0,Michael Otto,8.7,79.0,Germany,"Retail, real estate",Fashion & Retail,79.0
231,232.0,Leon Black,8.6,71.0,United States,Private equity,Finance & Investments,71.0
232,232.0,Andreas von Bechtolsheim & family,8.6,67.0,Germany,Google,Technology,67.0
233,232.0,Manuel Villar,8.6,73.0,Philippines,Real estate,Real Estate,73.0
234,232.0,Carlos Alberto Sicupira & family,8.6,75.0,Brazil,Beer,Food & Beverage,75.0
235,232.0,Hasso Plattner & family,8.6,79.0,Germany,Software,Technology,79.0
236,232.0,Ravi Jaipuria,8.6,68.0,India,"Soft drinks, fast food",Food & Beverage,68.0
237,232.0,Graeme Hart,8.6,67.0,New Zealand,Investments,Finance & Investments,67.0
238,239.0,Li Zhenguo & family,8.5,55.0,China,Solar wafers and modules,Manufacturing,55.0
239,239.0,Ann Walton Kroenke,8.5,74.0,United States,Walmart,Fashion & Retail,74.0
240,239.0,"Chase Coleman, III.",8.5,47.0,United States,Investments,Finance & Investments,47.0
241,242.0,Zheng Shuliang & family,8.4,77.0,China,Aluminum products,Metals & Mining,77.0
242,242.0,Nicky Oppenheimer & family,8.4,77.0,South Africa,Diamonds,Metals & Mining,77.0
243,242.0,Jim Kennedy,8.4,75.0,United States,"Media, automotive",Media & Entertainment,75.0
244,242.0,Blair Parry-Okeden,8.4,72.0,United States,"Media, automotive",Media & Entertainment,72.0
245,246.0,John Morris,8.3,75.0,United States,Sporting goods retail,Fashion & Retail,75.0
246,246.0,Stefano Pessina,8.3,81.0,Monaco,Drugstores,Fashion & Retail,81.0
247,246.0,Francine von Finck & family,8.3,65.0,Germany,Investments,Finance & Investments,65.0
248,249.0,Yang Huiyan & family,8.2,41.0,China,Real estate,Real Estate,41.0
249,249.0,Wang Jianlin,8.2,68.0,China,Real estate,Real Estate,68.0
250,249.0,Kushal Pal Singh,8.2,91.0,India,Real estate,Real Estate,91.0
251,249.0,George Roberts,8.2,79.0,United States,Private equity,Finance & Investments,79.0
252,249.0,Abdulsamad Rabiu,8.2,62.0,Nigeria,"Cement, sugar",Diversified,62.0
253,249.0,German Khan,8.2,61.0,Russia,"Oil, banking, telecom",Energy,61.0
254,249.0,Francis Choi,8.2,75.0,Hong Kong,Real estate,Real Estate,75.0
255,256.0,Karel Komarek,8.1,54.0,Czech Republic,"Oil and gas, IT, lotteries",Gambling & Casinos,54.0
256,256.0,Laurent Dassault,8.1,69.0,France,Diversified,Diversified,69.0
257,256.0,Tilman Fertitta,8.1,65.0,United States,"Houston Rockets, entertainment",Food & Beverage,65.0
258,256.0,Thierry Dassault,8.1,66.0,France,Diversified,Diversified,66.0
259,256.0,Marie-Hélène Habert-Dassault,8.1,58.0,France,Diversified,Diversified,58.0
260,261.0,Nathan Blecharczyk,8.0,39.0,United States,Airbnb,Technology,39.0
261,261.0,Leonid Fedun,8.0,66.0,Russia,Oil,Energy,66.0
262,261.0,Eric Wittouck,8.0,76.0,Belgium,Investments,Finance & Investments,76.0
263,261.0,Pavel Tykac,8.0,58.0,Czech Republic,Coal mines,Metals & Mining,58.0
264,261.0,Robert F. Smith,8.0,60.0,United States,Private equity,Finance & Investments,60.0
265,261.0,Patrick Ryan,8.0,85.0,United States,Insurance,Finance & Investments,85.0
266,261.0,Bernard Marcus,8.0,93.0,United States,Home Depot,Fashion & Retail,93.0
267,268.0,Georg Stumpf,7.9,50.0,Austria,"Real estate, construction",Diversified,50.0
268,268.0,Jay Y. Lee,7.9,54.0,South Korea,Samsung,Technology,54.0
269,268.0,Nancy Walton Laurie,7.9,71.0,United States,Walmart,Fashion & Retail,71.0
270,268.0,Ding Shizhong & family,7.9,52.0,China,Sports apparel,Fashion & Retail,52.0
271,268.0,Orlando Bravo,7.9,52.0,United States,Private equity,Finance & Investments,52.0
272,268.0,David Shaw,7.9,72.0,United States,Hedge funds,Finance & Investments,72.0
273,268.0,Ramzi Musallam,7.9,54.0,United States,Private equity,Finance & Investments,54.0
274,268.0,Andrei Skoch & family,7.9,57.0,Russia,Metals and mining,Metals & Mining,57.0
275,276.0,Rocco Commisso,7.8,73.0,United States,Telecom,Telecom,73.0
276,276.0,Li Shuirong,7.8,66.0,China,Petrochemicals,Manufacturing,66.0
277,276.0,Zhang Congyuan,7.8,75.0,Taiwan,Shoes,Fashion & Retail,75.0
278,276.0,Yao Liangsong,7.8,58.0,China,Furniture,Manufacturing,58.0
279,276.0,Qi Shi & family,7.8,53.0,China,Financial information,Technology,53.0
280,276.0,Lin Shu-hong,7.8,94.0,Taiwan,Petrochemicals,Manufacturing,94.0
281,282.0,Liu Yonghao & family,7.7,71.0,China,Agribusiness,Service,71.0
282,282.0,Robin Li,7.7,54.0,China,Internet search,Technology,54.0
283,282.0,David Geffen,7.7,80.0,United States,"Movies, record labels",Media & Entertainment,80.0
284,282.0,Marie Besnier Beauvalot,7.7,42.0,France,Cheese,Food & Beverage,42.0
285,282.0,Jean-Michel Besnier,7.7,55.0,France,Cheese,Food & Beverage,55.0
286,282.0,Reinhold Schmieding,7.7,68.0,United States,Medical devices,Healthcare,68.0
287,282.0,Henry Samueli,7.7,68.0,United States,Semiconductors,Technology,68.0
288,282.0,Ivar Tollefsen,7.7,61.0,Norway,Real estate,Real Estate,61.0
289,290.0,Cao Renxian,7.6,54.0,China,Photovoltaic equipment,Energy,54.0
290,290.0,Hasmukh Chudgar & family,7.6,89.0,India,Pharmaceuticals,Healthcare,89.0
291,290.0,Andrew Currie,7.6,67.0,United Kingdom,Chemicals,Manufacturing,67.0
292,290.0,Zhong Huijuan,7.6,62.0,China,Pharmaceuticals,Healthcare,62.0
293,290.0,Joseph Tsai,7.6,59.0,Canada,E-commerce,Technology,59.0
294,290.0,Leonard Stern,7.6,85.0,United States,Real estate,Real Estate,85.0
295,290.0,John Reece,7.6,66.0,United Kingdom,Chemicals,Manufacturing,66.0
296,290.0,Philip Ng,7.6,64.0,Singapore,Real Estate,Real Estate,64.0
297,290.0,Joe Gebbia,7.6,41.0,United States,Airbnb,Technology,41.0
298,299.0,Ding Shijia,7.5,59.0,China,Sports apparel,Fashion & Retail,59.0
299,299.0,Charles Butt,7.5,85.0,United States,Supermarkets,Fashion & Retail,85.0
300,299.0,Arthur Blank,7.5,80.0,United States,Home Depot,Sports,80.0
301,299.0,Henry Kravis,7.5,79.0,United States,Private equity,Finance & Investments,79.0
302,299.0,"Paul Tudor Jones, II.",7.5,68.0,United States,Hedge funds,Finance & Investments,68.0
303,299.0,Zhang Yong,7.5,52.0,Singapore,Restaurants,Food & Beverage,52.0
304,305.0,James Goodnight,7.4,80.0,United States,Software,Technology,80.0
305,305.0,Sri Prakash Lohia,7.4,70.0,Indonesia,Petrochemicals,Manufacturing,70.0
306,305.0,Ma Jianrong & family,7.4,59.0,China,"Textiles, apparel",Fashion & Retail,59.0
307,305.0,Harry Stine,7.4,81.0,United States,Agriculture,Food & Beverage,81.0
308,305.0,Nassef Sawiris,7.4,62.0,Egypt,"Construction, investments",Construction & Engineering,62.0
309,305.0,Steven Rales,7.4,72.0,United States,"Manufacturing, investments",Manufacturing,72.0
310,305.0,Robert Ng,7.4,71.0,Singapore,Real estate,Real Estate,71.0
311,312.0,Wang Laichun,7.3,55.0,China,Electronics components,Technology,55.0
312,312.0,Enrique Razon Jr.,7.3,63.0,Philippines,Ports,Logistics,63.0
